year   jan   feb   mar   apr   may   jun   jul   aug   sep   oct   nov   dec   win   spr   sum   aut   ann
1880   14.7   79.1   42.6   54.0   35.2   75.3  135.2   37.2  109.9  138.9   82.7  101.3   129.1   131.8   247.7   331.4   906.1
1881   32.0   95.1   71.6   28.4   44.0   65.6   68.5  132.6   66.5   77.4   95.5   91.1   228.4   144.0   266.6   239.3   868.2
1882   56.6   55.6   50.9  100.6   48.9   99.8  101.9   69.7   71.0  142.4  112.0  106.1   203.3   200.4   271.4   325.3  1015.5
1883   89.3   95.8   35.2   42.4   45.3   80.6   86.0   42.1  124.2   85.8   98.9   44.4   291.2   123.0   208.6   308.9   870.0
1884   93.9   58.2   59.9   42.8   33.4   40.8   88.2   41.1   59.9   44.5   44.7   87.0   196.5   136.1   170.0   149.1   694.4
1885   59.7   84.0   44.3   56.4   70.9   55.8   21.6   51.3  110.8  129.7   85.2   35.4   230.7   171.7   128.7   325.7   805.2
1886  104.8   21.9   68.7   53.8  111.4   28.8   91.2   47.5   62.2  117.1   82.8  122.5   162.1   233.9   167.5   262.0   912.6
1887   63.5   22.8   43.0   34.9   48.3   19.3   34.4   48.9   82.2   62.6   77.6   59.4   208.8   126.2   102.5   222.3   596.8
1888   31.2   34.8   86.2   49.4   31.9   62.6  142.0   70.6   33.9   39.3  136.7   62.5   125.5   167.5   275.1   209.9   781.1
1889   32.9   52.6   70.1   72.0   79.2   24.9   73.6   90.6   51.8  112.6   36.0   53.0   148.1   221.2   189.2   200.3   749.3
1890   92.0   25.2   54.5   39.6   57.2   70.3   83.1   89.4   39.8   46.8   98.1   29.8   170.2   151.3   242.8   184.8   725.9
1891   58.7    3.3   51.1   40.3   75.9   49.2   79.9  138.2   59.2  147.8   81.2  116.6    91.7   167.3   267.4   288.1   901.2
1892   44.9   52.1   28.2   32.9   57.2   76.9   60.2   95.0   78.8  128.6   59.6   41.4   213.5   118.2   232.1   267.0   755.6
1893   50.5   97.3   15.5    8.4   41.6   34.5   90.5   55.7   53.1   80.0   64.9   81.9   189.2    65.6   180.6   197.9   673.8
1894   75.8   79.7   45.3   51.4   60.0   67.8   92.1   78.5   43.0  104.1  102.5   69.1   237.3   156.6   238.4   249.5   869.2
1895   90.0   10.9   65.8   50.8   17.0   35.9  108.7   81.6   24.0   96.0  111.8   76.6   170.1   133.6   226.2   231.8   769.2
1896   31.8   22.0   89.6   27.4   11.4   65.9   47.9   58.4  140.0  103.9   34.5  117.2   130.4   128.4   172.2   278.3   750.0
1897   54.5   77.9  100.2   58.8   36.0   71.6   30.0  102.1   84.1   36.7   57.2   99.9   249.6   195.1   203.7   178.0   809.1
1898   33.8   47.3   36.6   54.9   80.6   50.8   24.0   76.4   23.4  104.2   78.8   83.6   181.0   172.1   151.2   206.3   694.4
1899  103.0   62.7   32.6   73.3   65.4   38.7   46.7   32.6   87.1   73.2   74.4   66.3   249.3   171.4   118.0   234.7   756.0
1900  102.7  119.0   27.3   39.1   44.1   76.9   44.6  104.5   28.2   91.4   81.9  113.6   288.0   110.4   226.0   201.4   873.1
1901   45.4   38.5   63.5   61.0   32.2   46.7   60.8   57.0   43.9   63.3   59.8  122.1   197.6   156.7   164.5   166.9   694.2
1902   38.6   36.7   47.1   43.5   68.0   65.9   53.0   83.6   39.2   69.5   65.0   64.5   197.4   158.6   202.5   173.7   674.6
1903   81.4   53.1   98.3   51.3   79.8   72.9   94.6  109.3   89.5  191.3   59.5   61.2   199.0   229.4   276.8   340.3  1042.2
1904   86.0   96.3   48.5   41.6   66.2   29.6   67.7   76.3   47.2   37.5   52.7   66.2   243.5   156.4   173.5   137.5   715.8
1905   30.7   30.7   88.4   62.9   22.6   75.3   31.7   96.4   53.9   56.7   98.8   27.1   127.6   173.9   203.3   209.4   675.2
